name,method,garnish,Notes,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,Ingredient 5,,,Fruity,Creamy,Boozy,Light,Bubbly,Classic,Smokey,Floral,Herbal,Shot,Warm,Sharing,Extras,All,Base Alc
Homewrecker,,,,"2x0.25 oz Flowers (violet, elder)","2x1 oz Sexless beach (OJ, Cran)","4x0.25 Leg spreader (gin, rum, vodka, tequila)",,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,all
Sleigh Balls,,,,eggnog liquer,apple whiskey,boba,cinnamon,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,whiskey
"Good Morning, Good Night",,,,1 shot espresso,eggnog liquer,absinthe,a warm spice,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,liqueur
Love & Murder,,,,1 oz campari,1 oz green chartreuse,1 oz lime juice,3/4 oz simple syrup,4 drops saline solution,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,aperitif
Naked & Famous,,,,3/4 oz mezcal,3/4 oz green chartreuse,3/4 oz aperol,3/4 oz lime juice,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,mezcal
Pissa,Decanter,,,White wine,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,wine
ISEC 1,,,,fruit,lime,syrup,vodka,club soda,butterfly pea tea top,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,vodka
#LikeAHusky,,Rainbow shots,,,"Blue curacau, skill",grenadine,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,liqueur
the ISEC 2,,,,butterfly pea tea,vodka,"black berry, rasp berry, kiwi berry",,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,vodka
Aounski,,,,vodka,rose syrup,coconut water,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,vodka
Co-op program (Spring),,,,growing up,a little,Caprisun,tequila,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,tequila
Co-op program (Fall),,,,growing up,a little,Caprisun ,rum,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,rum
SAIL,,,,nobody wants it,but you might learn something,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,all
Simmons,,,,Fruity,kinda fun,bit pretencious,,light tequila,campari,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,tequila
Housing crisis,,,,Gentrified cocktail,Old drink but sped up,Whiskey with a flower on top,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,all
Plus One,,Extra shot of some thing,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,all
Miami Vice,,Daq + pina,,,Rum,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,rum
London,,The bramble,,Gin, creme de mure,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,gin
NUIN Boston,,,,Tea,Party,Mollasis Massacre,,"cognac, tea, molassis syrup, orange liq?",,Boston,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,cognac
Seattle,,,,pine Espresso martini,Coffee,space needles,Grunge,"Whiskey, coffee, pine syrup",,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,whiskey
Toronto,,,,Whiskey,Fernet Branca,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,whiskey
Portland,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,beer
Segovia,,Sangria,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,wine
